,PC,feature,loading,type
0,PC1,P_wasser_1,0.24640422369438444,best
1,PC2,L_wasser_3,-0.2733623075446906,best
2,PC3,L_bottle_1,0.3298277296982193,best
3,PC4,L_landsc_2,0.33914415441393553,best
4,PC5,P_bottle_1,0.6403905779981459,best
5,PC6,L_landsc_1,0.45121013323534387,best
6,PC7,L_bottle_3,0.40516822936146124,best
7,PC8,P_bottle_2,0.6255621984179136,best
8,PC9,P_pers_S_2,0.9683900695299321,best
9,PC10,P_pers_S_3,-0.9989301793340716,best
10,PC11,L_pers_S_3,0.968570021735506,best
11,PC12,L_pers_S_2,-0.6066391077827192,best
12,PC13,P_pers_img_3,0.47806469969768717,best
13,PC14,L_pers_S_1,-0.7272965530884561,best
14,PC15,P_pers_S_1,0.8364448686654061,best
15,PC16,L_pers_img_3,-0.5882412821313103,best
16,PC17,P_wasser_2,-0.6103590874600517,best
17,PC18,P_wasser_3,-0.476847435579403,best
18,PC19,L_pers_img_2,-0.5834446183135685,best
19,PC20,P_bottle_3,-0.6049611926570087,best
20,PC21,P_bottle_1,-0.5922865877477995,best
21,PC22,L_landsc_2,-0.620989579420584,best
22,PC23,L_wasser_3,-0.5954866171008751,best
23,PC24,P_wasser_2,0.5681559490100572,best
24,PC25,L_wasser_3,0.5311383005407915,best
25,PC26,P_landsc_2,0.5931395852951392,best
26,PC27,P_no_p_3,-0.41092219878106667,best
27,PC28,L_no_p_3,-0.5112463769540957,best
28,PC29,L_wasser_1,0.6079016179619013,best
29,PC30,P_wasser_1,-0.5490758520929566,best
30,PC31,L_landsc_3,0.6330478601520699,best
31,PC32,L_bottle_1,-0.6250017610016276,best
32,PC33,P_no_p_2,0.5574407469319331,best
33,PC34,L_no_p_2,0.6479753333690108,best
34,PC35,L_no_p_1,0.8101517033234885,best
35,PC17,P_no_p_1,0.2795366804251102,weak
36,PC5,P_landsc_1,0.6346356590637818,weak
37,PC20,P_landsc_3,0.5537432813989064,weak
38,PC30,P_pers_img_1,0.30544236797701135,weak
39,PC33,P_pers_img_2,-0.42597327314263445,weak
40,PC22,L_bottle_2,0.5621195330378413,weak
41,PC25,L_wasser_2,-0.5233238478809503,weak
42,PC35,L_pers_img_1,-0.4732470347300061,weak
