,PC,feature,loading,type
0,PC1,L_wasser_1,0.24012748542581452,best
1,PC2,L_wasser_3,-0.27171496300437525,best
2,PC3,L_pers_S_2,-0.30178784594527325,best
3,PC4,P_landsc_1,0.46543329073851153,best
4,PC5,P_bottle_1,-0.3952122537990632,best
5,PC6,L_bottle_1,0.5050584833801952,best
6,PC7,P_bottle_2,-0.3578360960510968,best
7,PC8,P_pers_S_3,0.41133356973576807,best
8,PC9,P_pers_S_2,0.6769032041487573,best
9,PC10,P_pers_S_3,0.5851060323642734,best
10,PC11,L_pers_S_1,-0.45758312666109735,best
11,PC12,L_pers_S_2,-0.5189107357153528,best
12,PC13,L_pers_S_1,-0.5874858059205342,best
13,PC14,L_pers_S_3,0.5677961117083865,best
14,PC15,L_pers_img_3,-0.5368519110352106,best
15,PC16,L_pers_S_3,0.5693205735891076,best
16,PC17,P_wasser_2,-0.6001507828807799,best
17,PC18,P_pers_img_2,-0.43332901607785956,best
18,PC19,L_pers_img_2,0.5449445577388139,best
19,PC20,L_landsc_2,0.5159204881926464,best
20,PC21,P_wasser_2,0.5176708496666873,best
21,PC22,P_landsc_3,0.5200953225871928,best
22,PC23,L_no_p_3,0.5108728705558081,best
23,PC24,P_landsc_2,-0.52907369317136,best
24,PC25,L_wasser_2,0.45679244226565113,best
25,PC26,P_no_p_3,-0.5689034956787782,best
26,PC27,P_wasser_1,-0.6775829758718716,best
27,PC28,L_wasser_3,0.43659190016722427,best
28,PC29,L_pers_img_1,0.4507476349012342,best
29,PC30,L_pers_img_1,0.5269869469104653,best
30,PC31,L_landsc_3,0.7236919558000102,best
31,PC32,L_no_p_2,0.7272432030516923,best
32,PC33,L_no_p_1,-0.8148705401110111,best
33,PC34,L_bottle_1,-0.6836540239616659,best
34,PC35,P_no_p_1,0.7563321974463394,best
35,PC14,P_pers_S_1,-0.4902173232106063,weak
36,PC29,P_no_p_2,-0.38033268216960986,weak
37,PC22,P_bottle_3,-0.4706804953095911,weak
38,PC21,P_wasser_3,-0.492140247107747,weak
39,PC35,P_pers_img_1,-0.5764329650401048,weak
40,PC26,P_pers_img_3,0.4358755894222458,weak
41,PC20,L_bottle_2,-0.4849496022645054,weak
42,PC31,L_bottle_3,-0.4743830413260025,weak
43,PC34,L_landsc_1,0.6831015817781075,weak
