x,y,z,target
0.341007,0.318606,0.096725,human_arms_out9
0.329226,0.421601,0.056749,human_arms_out9
0.446869,0.648674,0.12409,human_arms_out9
0.314729,0.21786,0.070847,human_arms_out9
0.426678,0.919195,0.047609,human_arms_out9
0.272842,0.118783,0.075834,human_arms_out9
0.327974,0.545698,0.088448,human_arms_out9
0.324983,0.908549,0.168252,human_arms_out9
0.68023,0.525049,0.098238,human_arms_out9
0.350678,0.345807,0.098277,human_arms_out9
0.458873,0.241727,0.109578,human_arms_out9
0.397947,0.472132,0.049861,human_arms_out9
0.333802,0.287886,0.098271,human_arms_out9
0.419981,0.878093,0.180641,human_arms_out9
0.362676,0.96599,0.075671,human_arms_out9
0.35726,0.498545,0.055027,human_arms_out9
0.407688,0.742296,0.078586,human_arms_out9
0.322699,0.679953,0.13784,human_arms_out9
0.436895,0.27357,0.096683,human_arms_out9
0.464011,0.033043,0.13516,human_arms_out9
0.297493,0.330928,0.077956,human_arms_out9
0.364026,0.511388,0.056531,human_arms_out9
0.451629,0.195171,0.089389,human_arms_out9
0.474295,0.352643,0.113642,human_arms_out9
0.060163,0.504387,0.102116,human_arms_out9
0.441894,0.89385,0.16865,human_arms_out9
0.302876,0.271851,0.11856,human_arms_out9
0.398878,0.972775,0.100949,human_arms_out9
0.381392,0.902928,0.187484,human_arms_out9
0.370894,0.650973,0.05537,human_arms_out9
0.325483,0.4163,0.059638,human_arms_out9
0.334046,0.546602,0.117533,human_arms_out9
0.402301,0.62895,0.146737,human_arms_out9
0.297877,0.051453,0.084166,human_arms_out9
0.299661,0.17059,0.096232,human_arms_out9
0.392324,0.4269,0.062665,human_arms_out9
0.409469,0.508723,0.056393,human_arms_out9
0.488476,0.234398,0.084699,human_arms_out9
0.417406,0.494687,0.141199,human_arms_out9
0.284296,0.029677,0.146365,human_arms_out9
0.444999,0.878449,0.166314,human_arms_out9
0.298923,0.699086,0.066738,human_arms_out9
0.664432,0.554327,0.119009,human_arms_out9
0.435431,0.843608,0.096533,human_arms_out9
0.446231,0.447179,0.135666,human_arms_out9
0.392818,0.776767,0.128025,human_arms_out9
0.45547,0.244105,0.073038,human_arms_out9
0.315245,0.875516,0.157295,human_arms_out9
0.324123,0.485867,0.130106,human_arms_out9
0.419406,0.96542,0.109668,human_arms_out9
0.448183,0.24318,0.083609,human_arms_out9
0.439048,0.379723,0.139694,human_arms_out9
0.060801,0.511155,0.125226,human_arms_out9
0.471195,0.131937,0.090895,human_arms_out9
0.284522,0.259387,0.099004,human_arms_out9
0.32724,0.345767,0.132491,human_arms_out9
0.37189,0.79724,0.16465,human_arms_out9
0.479006,0.060265,0.089808,human_arms_out9
0.348063,0.961515,0.083973,human_arms_out9
0.409565,0.849913,0.042257,human_arms_out9
0.438313,0.612208,0.118408,human_arms_out9
0.399836,0.751715,0.078467,human_arms_out9
0.42541,0.824958,0.099307,human_arms_out9
0.457593,0.6605,0.087241,human_arms_out9
0.480591,0.309349,0.099322,human_arms_out9
0.181827,0.629076,0.101415,human_arms_out9
0.410706,0.930376,0.178079,human_arms_out9
0.41197,0.365886,0.092152,human_arms_out9
0.264081,0.689026,0.086557,human_arms_out9
0.288862,0.317048,0.112612,human_arms_out9
0.291446,0.092183,0.061413,human_arms_out9
0.421431,0.327717,0.100689,human_arms_out9
0.430127,0.925147,0.05602,human_arms_out9
0.364891,0.78902,0.130452,human_arms_out9
0.273465,0.072163,0.080827,human_arms_out9
0.264962,0.645141,0.111132,human_arms_out9
0.389808,0.962106,0.148949,human_arms_out9
0.494585,0.104001,0.075817,human_arms_out9
0.46878,0.729056,0.086701,human_arms_out9
0.350222,0.638753,0.143361,human_arms_out9
0.434914,0.427914,0.142975,human_arms_out9
0.446336,0.877517,0.078996,human_arms_out9
0.440031,0.737544,0.1059,human_arms_out9
0.228939,0.659672,0.097126,human_arms_out9
0.40736,0.643115,0.0556,human_arms_out9
0.31859,0.229465,0.095986,human_arms_out9
0.293682,0.289145,0.118564,human_arms_out9
0.707349,0.514327,0.124296,human_arms_out9
0.365307,0.614796,0.057817,human_arms_out9
0.479045,0.665651,0.117844,human_arms_out9
0.403491,0.380982,0.099437,human_arms_out9
0.059379,0.503104,0.091659,human_arms_out9
0.481455,0.027236,0.120618,human_arms_out9
0.461611,0.139718,0.084948,human_arms_out9
0.307507,0.306065,0.125661,human_arms_out9
0.420586,0.567943,0.066551,human_arms_out9
0.163647,0.614694,0.0982,human_arms_out9
0.205165,0.632023,0.086728,human_arms_out9
0.452214,0.649522,0.105879,human_arms_out9
0.443095,0.268877,0.108541,human_arms_out9
0.388872,0.488513,0.144831,human_arms_out9
0.428058,0.851606,0.167102,human_arms_out9
0.458575,0.225584,0.104643,human_arms_out9
0.353169,0.51782,0.137839,human_arms_out9
0.46401,0.146444,0.090901,human_arms_out9
0.285648,0.301388,0.100899,human_arms_out9
0.441486,0.409476,0.060788,human_arms_out9
0.46484,0.422815,0.090234,human_arms_out9
0.350432,0.663872,0.055389,human_arms_out9
0.321963,0.360904,0.065132,human_arms_out9
0.412891,0.969026,0.108615,human_arms_out9
0.413474,0.801978,0.117283,human_arms_out9
0.421781,0.896985,0.037673,human_arms_out9
0.34061,0.346959,0.126427,human_arms_out9
0.301647,0.032949,0.077943,human_arms_out9
0.117879,0.571733,0.109385,human_arms_out9
0.620095,0.564138,0.097985,human_arms_out9
0.465828,0.421377,0.094642,human_arms_out9
0.335146,0.93747,0.069042,human_arms_out9
0.462538,0.445076,0.104703,human_arms_out9
0.343688,0.94614,0.061886,human_arms_out9
0.2983,0.669222,0.090199,human_arms_out9
0.360097,0.80387,0.086624,human_arms_out9
0.286727,0.2765,0.088699,human_arms_out9
0.318499,0.454335,0.063638,human_arms_out9
0.407895,0.755532,0.099559,human_arms_out9
0.307103,0.189888,0.097137,human_arms_out9
0.292685,0.143102,0.093987,human_arms_out9
0.418094,0.736855,0.076134,human_arms_out9
0.35213,0.882861,0.18394,human_arms_out9
0.620803,0.584979,0.091178,human_arms_out9
0.454124,0.869405,0.139031,human_arms_out9
0.370262,0.56973,0.060411,human_arms_out9
0.440983,0.61883,0.087234,human_arms_out9
0.379939,0.974211,0.116011,human_arms_out9
0.386849,0.799964,0.171542,human_arms_out9
0.408401,0.627344,0.144728,human_arms_out9
0.660842,0.552606,0.121029,human_arms_out9
0.352858,0.504854,0.056346,human_arms_out9
0.422702,0.833112,0.157581,human_arms_out9
0.380631,0.436854,0.061365,human_arms_out9
0.143914,0.561792,0.111018,human_arms_out9
0.331361,0.687449,0.056334,human_arms_out9
0.323333,0.51608,0.086907,human_arms_out9
0.41741,0.500308,0.055854,human_arms_out9
0.388736,0.878025,0.189332,human_arms_out9
0.289097,0.331426,0.110466,human_arms_out9
0.389346,0.79055,0.137667,human_arms_out9
0.039842,0.491495,0.110516,human_arms_out9
0.421176,0.851182,0.048947,human_arms_out9
0.440458,0.467681,0.058604,human_arms_out9
0.623402,0.561452,0.109541,human_arms_out9
0.354005,0.843891,0.050579,human_arms_out9
0.318799,0.235649,0.097489,human_arms_out9
0.373258,0.828941,0.052833,human_arms_out9
0.464801,0.431178,0.105385,human_arms_out9
0.15563,0.567034,0.10399,human_arms_out9
0.438651,0.893918,0.057747,human_arms_out9
0.407017,0.796092,0.13953,human_arms_out9
0.30319,0.390212,0.080602,human_arms_out9
0.049866,0.50055,0.090782,human_arms_out9
0.370373,0.867423,0.028724,human_arms_out9
0.41453,0.836251,0.058671,human_arms_out9
0.447183,0.654156,0.075172,human_arms_out9
0.319076,0.436748,0.135275,human_arms_out9
0.478211,0.233244,0.103042,human_arms_out9
0.281206,0.240202,0.082697,human_arms_out9
0.310123,0.406415,0.131069,human_arms_out9
0.044599,0.490168,0.084847,human_arms_out9
0.088994,0.547351,0.107968,human_arms_out9
0.435345,0.308672,0.082439,human_arms_out9
0.479704,0.305259,0.094093,human_arms_out9
0.323809,0.524021,0.1024,human_arms_out9
0.062885,0.519884,0.110082,human_arms_out9
0.446461,0.443874,0.061118,human_arms_out9
0.461862,0.125784,0.071767,human_arms_out9
0.477337,0.359629,0.10655,human_arms_out9
0.393249,0.727655,0.130044,human_arms_out9
0.300623,0.034635,0.114484,human_arms_out9
0.254357,0.678927,0.087695,human_arms_out9
0.178036,0.627537,0.109525,human_arms_out9
0.280145,0.153881,0.06023,human_arms_out9
0.284802,0.066714,0.059685,human_arms_out9
0.464329,0.393037,0.121151,human_arms_out9
0.488692,0.177008,0.089419,human_arms_out9
0.489924,0.02668,0.141988,human_arms_out9
0.466811,0.053316,0.069328,human_arms_out9
0.490163,0.184161,0.087226,human_arms_out9
0.436346,0.944967,0.0966,human_arms_out9
0.292311,0.66557,0.113373,human_arms_out9
0.450799,0.219549,0.075276,human_arms_out9
0.387745,0.709257,0.136222,human_arms_out9
0.420489,0.950192,0.154459,human_arms_out9
0.372514,0.404992,0.089299,human_arms_out9
0.428389,0.614719,0.068554,human_arms_out9
0.299192,0.204969,0.102283,human_arms_out9
0.279991,0.661756,0.085522,human_arms_out9
0.380666,0.792072,0.072026,human_arms_out9
0.310007,0.321261,0.069562,human_arms_out9
0.625,0.568636,0.119496,human_arms_out9
0.479791,0.333046,0.107254,human_arms_out9
0.46459,0.414849,0.11659,human_arms_out9
0.099793,0.53626,0.10647,human_arms_out9
0.282649,0.025926,0.102317,human_arms_out9
0.082498,0.530302,0.089261,human_arms_out9
0.457217,0.439487,0.075568,human_arms_out9
0.230718,0.660907,0.114466,human_arms_out9
0.363965,0.674022,0.145279,human_arms_out9
0.44276,0.624004,0.111827,human_arms_out9
0.436771,0.886784,0.052865,human_arms_out9
0.315615,0.721518,0.068696,human_arms_out9
0.440977,0.850971,0.134746,human_arms_out9
0.472325,0.384765,0.107309,human_arms_out9
0.35144,0.418097,0.055714,human_arms_out9
0.369213,0.706337,0.059347,human_arms_out9
0.450579,0.910147,0.124837,human_arms_out9
0.492235,0.651678,0.107184,human_arms_out9
0.64144,0.564833,0.120013,human_arms_out9
0.319682,0.462399,0.063172,human_arms_out9
0.289394,0.036925,0.053971,human_arms_out9
0.328712,0.575531,0.090082,human_arms_out9
0.134251,0.573057,0.092389,human_arms_out9
0.279603,0.175978,0.09123,human_arms_out9
0.281164,0.718673,0.108666,human_arms_out9
0.309573,0.436367,0.075783,human_arms_out9
0.316296,0.911883,0.145471,human_arms_out9
0.149946,0.593481,0.093001,human_arms_out9
0.479269,0.203456,0.059776,human_arms_out9
0.236393,0.651429,0.122866,human_arms_out9
0.569688,0.632823,0.092749,human_arms_out9
0.33375,0.919382,0.174501,human_arms_out9
0.357813,0.662327,0.054216,human_arms_out9
0.259522,0.036468,0.110937,human_arms_out9
0.437409,0.939943,0.141433,human_arms_out9
0.338262,0.631392,0.063218,human_arms_out9
0.29155,0.208101,0.101318,human_arms_out9
0.327603,0.469225,0.137629,human_arms_out9
0.360563,0.907052,0.031137,human_arms_out9
0.427572,0.560752,0.071909,human_arms_out9
0.48306,0.199977,0.097301,human_arms_out9
0.417508,0.648078,0.144411,human_arms_out9
0.485205,0.079797,0.08731,human_arms_out9
0.337163,0.326802,0.082623,human_arms_out9
0.405489,0.383604,0.106831,human_arms_out9
0.275543,0.699933,0.121235,human_arms_out9
0.355646,0.961406,0.140652,human_arms_out9
0.404021,0.971872,0.114383,human_arms_out9
0.316471,0.736928,0.09831,human_arms_out9
0.680753,0.544749,0.105837,human_arms_out9
0.476346,0.318432,0.115995,human_arms_out9
0.356765,0.797073,0.112686,human_arms_out9
0.43022,0.563082,0.12158,human_arms_out9
0.381272,0.964704,0.067726,human_arms_out9
0.561109,0.633673,0.087545,human_arms_out9
0.495537,0.04251,0.13254,human_arms_out9
0.476845,0.677929,0.075449,human_arms_out9
0.503866,0.689211,0.087566,human_arms_out9
0.305196,0.329165,0.127925,human_arms_out9
0.475331,0.223426,0.063031,human_arms_out9
0.453222,0.88043,0.119713,human_arms_out9
0.275482,0.14059,0.082042,human_arms_out9
0.322816,0.862863,0.117721,human_arms_out9
0.353037,0.928811,0.040928,human_arms_out9
0.318624,0.225127,0.081538,human_arms_out9
0.328153,0.527091,0.109551,human_arms_out9
0.480178,0.223973,0.065536,human_arms_out9
0.732556,0.491182,0.100821,human_arms_out9
0.352201,0.419502,0.136771,human_arms_out9
