,PC,feature,loading,type
0,PC1,NumValenceElectrons,0.139387233,best
1,PC2,NumAromaticRings,0.302372672,best
2,PC3,NumSaturatedRings,0.322617386,best
3,PC4,NumAliphaticCarbocycles,-0.268987619,best
4,PC5,VSA_EState8,0.33410184,best
5,PC6,SlogP_VSA11,0.340412155,best
6,PC7,MaxAbsPartialCharge,-0.367077755,best
7,PC8,SMR_VSA6,-0.260344153,best
8,PC9,SlogP_VSA12,0.491369961,best
9,PC10,PEOE_VSA4,0.326809592,best
10,PC11,SMR_VSA6,0.340382996,best
11,PC12,VSA_EState10,-0.352829065,best
12,PC13,VSA_EState4,-0.425563221,best
13,PC14,EState_VSA4,0.518405854,best
14,PC15,NumRadicalElectrons,0.760121561,best
15,PC16,PEOE_VSA5,-0.485907357,best
16,PC17,EState_VSA6,0.504349141,best
17,PC18,EState_VSA5,-0.546137262,best
18,PC19,PEOE_VSA13,-0.414307712,best
19,PC20,EState_VSA5,-0.321401549,best
20,PC21,EState_VSA4,0.512148594,best
21,PC22,PEOE_VSA5,-0.283471982,best
22,PC23,MinPartialCharge,0.378970504,best
23,PC24,PEOE_VSA13,0.329689117,best
24,PC25,EState_VSA3,-0.619895296,best
25,PC26,PEOE_VSA13,-0.376819219,best
26,PC27,SlogP_VSA4,0.327266962,best
27,PC28,SlogP_VSA4,0.35776765,best
28,PC29,qed,0.368132122,best
29,PC30,PEOE_VSA7,0.35504637,best
30,PC31,EState_VSA2,0.367914415,best
31,PC32,EState_VSA2,-0.437352308,best
32,PC33,PEOE_VSA6,0.373463194,best
33,PC34,PEOE_VSA6,-0.348405276,best
34,PC35,PEOE_VSA11,0.401737163,best
35,PC36,MinAbsEStateIndex,-0.538783904,best
36,PC37,BalabanJ,-0.567143481,best
37,PC38,SMR_VSA4,-0.358302901,best
38,PC39,SMR_VSA4,-0.416898261,best
39,PC40,BalabanJ,0.313472054,best
40,PC41,SMR_VSA9,-0.286006618,best
41,PC42,MinEStateIndex,0.431190887,best
42,PC43,PEOE_VSA8,-0.392348868,best
43,PC44,SMR_VSA2,0.398772008,best
44,PC45,SMR_VSA6,-0.305771301,best
45,PC46,EState_VSA10,0.475572661,best
46,PC47,PEOE_VSA8,0.375097437,best
47,PC48,EState_VSA9,0.363442231,best
48,PC49,PEOE_VSA2,0.275821498,best
49,PC50,FractionCSP3,0.443829928,best
50,PC51,NumSaturatedCarbocycles,0.567522574,best
51,PC52,MinEStateIndex,0.347849587,best
52,PC53,SlogP_VSA3,0.633324428,best
53,PC54,PEOE_VSA2,-0.375826344,best
54,PC55,FpDensityMorgan1,-0.41024387,best
55,PC56,SlogP_VSA3,-0.372447744,best
56,PC57,Kappa3,0.343159026,best
57,PC58,SMR_VSA3,-0.525518344,best
58,PC59,SlogP_VSA6,0.345044224,best
59,PC60,MolLogP,0.39486712,best
60,PC61,NumHAcceptors,0.53900039,best
61,PC62,NumRotatableBonds,-0.512314033,best
62,PC63,SMR_VSA7,-0.369609785,best
63,PC64,NumRotatableBonds,-0.402094866,best
64,PC65,NumHDonors,-0.452961004,best
65,PC66,Chi4n,-0.628721143,best
66,PC67,SMR_VSA7,0.409809474,best
67,PC68,NumHDonors,0.563251581,best
68,PC69,NumHAcceptors,0.351439518,best
69,PC70,PEOE_VSA1,0.37368735,best
70,PC71,Kappa1,0.547881419,best
71,PC72,Chi3v,0.41125118,best
72,PC73,Kappa1,-0.419397586,best
73,PC74,SMR_VSA1,-0.552052789,best
74,PC75,FpDensityMorgan2,-0.396821763,best
75,PC76,PEOE_VSA1,0.342335642,best
76,PC77,FpDensityMorgan2,-0.505120618,best
77,PC78,HallKierAlpha,0.542072168,best
78,PC79,BertzCT,0.866621543,best
79,PC80,Chi1v,-0.401034275,best
